epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0528,1.02843,2.0144,1.19889,0.8152,0.79089,0.84759,0.60009,1.02195,0.96777,1.10774,0.000157198,0.000157198,0.000157198
2,55.2866,0.95791,1.16341,1.12021,0.75012,0.77658,0.83294,0.50683,1.11025,0.98644,1.16571,0.000312737,0.000312737,0.000312737
3,80.4123,0.95308,1.09436,1.14069,0.75149,0.70911,0.7998,0.56312,1.03625,1.18572,1.0994,0.000465135,0.000465135,0.000465135
4,105.565,0.9383,1.05819,1.1418,0.84335,0.87871,0.89456,0.6137,1.04414,0.88759,1.14221,0.000461863,0.000461863,0.000461863
5,131.32,0.92395,0.96606,1.11976,0.85024,0.86058,0.91121,0.63035,0.97728,0.76419,1.10937,0.00045715,0.00045715,0.00045715
6,157.278,0.89523,0.90808,1.10704,0.88967,0.88315,0.93227,0.64014,0.99264,0.663,1.0981,0.000452438,0.000452438,0.000452438
7,183.415,0.88549,0.86374,1.10495,0.89381,0.92433,0.93203,0.66715,0.96256,0.665,1.0967,0.000447726,0.000447726,0.000447726
8,209.843,0.88596,0.83107,1.10392,0.89536,0.89484,0.93965,0.66703,0.94798,0.66635,1.08479,0.000443013,0.000443013,0.000443013
9,236.066,0.84968,0.78421,1.08371,0.8922,0.90937,0.94075,0.66889,0.94954,0.65264,1.04162,0.000438301,0.000438301,0.000438301
10,262.381,0.84655,0.76132,1.08201,0.88856,0.9203,0.92949,0.67747,0.90065,0.62224,1.05268,0.000433588,0.000433588,0.000433588
11,288.908,0.85257,0.75879,1.08666,0.90115,0.91256,0.92374,0.6634,0.91942,0.61674,1.0517,0.000428876,0.000428876,0.000428876
12,315.163,0.82897,0.73442,1.08308,0.90191,0.92843,0.93375,0.64139,1.00821,0.60687,1.05857,0.000424164,0.000424164,0.000424164
